Numero,Data,Local,Especialidade,Treinamento,FPS,,,Especialidade
1,18/06/22,AMA,1,1,4,,,Drone Recreativo 1
2,18/06/22,AMA,2,0,6,,,Radio Controle 2
3,18/06/22,AMA,1,0,6,,,Drone Profissional 3
4,18/06/22,AMA,2,1,4,,,Gamer 4
5,18/06/22,AMA,2,1,4,,,
6,18/06/22,AMA,2,0,8,,,
7,18/06/22,AMA,1,1,4,,,Treinamento
8,18/06/22,AMA,1,1,6,,,Não  0
9,19/06/22,AMA,1,0,6,,,Sim  1
10,19/06/22,AMA,2,0,6,,,
11,19/06/22,AMA,2,0,6,,,
12,19/06/22,AMA,2,1,6,,,
13,19/06/22,AMA,2,1,6,,,
14,25/06/22,AMA,1,0,6,,,
15,25/06/22,AMA,2,0,4,,,
16,25/06/22,AMA,2,0,6,,,
17,26/06/22,AMA,1,0,6,,,
18,26/06/22,AMA,1,1,4,,,
19,26/06/22,AMA,2,1,6,,,
20,26/06/22,AMA,2,0,6,,,
21,26/06/22,AMA,2,0,6,,,
22,02/07/22,Xaero,2,1,4,,,
23,02/07/22,Xaero,2,1,6,,,
24,02/07/22,Xaero,2,0,8,,,
25,03/07/22,Xaero,2,0,6,,,
26,14/07/22,Stella,1,1,4,,,
27,14/07/22,Stella,1,1,2,,,
28,14/07/22,Stella,1,0,4,,,
29,14/07/22,Stella,3,1,4,,,
30,14/07/22,Stella,3,1,2,,,
31,20/07/22,Stella,4,1,2,,,
32,20/07/22,Stella,4,1,4,,,
