Data,Local,Especialidade,Treinamento,FPS
18/06/22,AMA,1,1,4
18/06/22,AMA,2,0,6
18/06/22,AMA,1,0,6
18/06/22,AMA,2,1,4
18/06/22,AMA,2,1,4
18/06/22,AMA,2,0,8
18/06/22,AMA,1,1,4
18/06/22,AMA,1,1,6
19/06/22,AMA,1,0,6
19/06/22,AMA,2,0,6
19/06/22,AMA,2,0,6
19/06/22,AMA,2,1,6
19/06/22,AMA,2,1,6
25/06/22,AMA,1,0,6
25/06/22,AMA,2,0,4
25/06/22,AMA,2,0,6
26/06/22,AMA,1,0,6
26/06/22,AMA,1,1,4
26/06/22,AMA,2,1,6
26/06/22,AMA,2,0,6
26/06/22,AMA,2,0,6
02/07/22,Xaero,2,1,4
02/07/22,Xaero,2,1,6
02/07/22,Xaero,2,0,8
03/07/22,Xaero,2,0,6
14/07/22,Stella,1,1,4
14/07/22,Stella,1,1,2
14/07/22,Stella,1,0,4
14/07/22,Stella,3,1,4
14/07/22,Stella,3,1,2
20/07/22,Stella,4,1,2
20/07/22,Stella,4,1,4
