Tempo(s),Ping (ms)
1,31.8
2,32.3
3,69.1
4,28.7
5,31.1
6,32.0
7,29.5
8,23.1
9,28.9
10,30.4
11,105
12,24.2
13,37.4
14,139
15,27.9
16,24.2
17,24.1
18,28.0
19,24.1
20,35.1
21,56.0
22,25.7
23,29.9
24,28.5
25,109
26,33.2
27,29.2
28,72.6
29,34.7
30,30.3
31,28.4
32,27.6
33,30.2
34,29.3
35,26.7
36,31.4
37,42.9
38,32.6
39,36.6
40,37.3
41,32.8
42,48.4
43,36.8
44,33.5
45,30.6
46,32.2
47,32.0
48,32.2
49,31.8
50,25.5
51,32.2
52,32.3
53,33.6
54,27.0
55,28.0
56,34.8
57,33.5
58,28.1
59,28.5
60,36.3
61,28.0
62,28.3
63,28.7
64,27.6
65,20.0
66,84.5
67,18.7
68,45.0
69,23.6
70,19.9
71,28.3
72,20.9
73,20.0
74,19.9
75,29.2
76,23.5
77,19.2
78,22.0
79,23.2
80,23.5
81,24.0
82,23.9
83,23.5
84,21.8
85,20.2
86,25.2
87,19.2
88,22.6
89,22.4
90,24.1
91,31.0
92,22.9
93,22.9
94,23.8
95,19.9
96,20.2
97,20.2
98,21.8
99,42.6
100,20.1
101,36.6
102,23.9
103,20.3
104,40.8
105,25.2
106,18.4
107,30.8
108,49.9
109,22.0
110,22.7
111,19.8
112,52.5
113,34.6
114,26.5
115,83.4
116,22.1
117,18.1
118,24.9
119,35.4
120,19.9
121,20.9
122,28.0
123,55.5
124,25.8
125,32.2
126,38.8
127,33.8
128,97.2
129,37.7
130,26.4
131,45.8
132,24.7
133,25.9
134,99.5
135,24.5
136,25.5
137,232
138,23.1
139,27.1
140,29.0
141,24.5
142,25.4
143,23.8
144,25.7
145,25.5
146,23.9
147,30.7
148,73.3
149,25.7
150,25.7
151,24.2
152,32.4
153,31.3
154,31.3
155,30.5
156,64.3
157,38.0
158,34.5
159,140
160,31.3
161,29.2
162,24.9
163,27.2
164,26.4
165,32.5
166,23.4
167,26.4
168,26.6
169,24.5
170,23.6
171,20.2
172,20.5
173,39.1
174,26.2
175,27.9
176,19.9
177,25.7
178,22.4
179,41.0
180,27.7
181,29.8
182,27.9
183,25.7
184,22.8
185,29.6
186,24.4
187,24.4
188,38.0
189,26.6
190,34.4
191,27.9
192,37.1
193,27.5
194,36.8
195,37.1
196,34.9
197,37.4
198,35.0
199,30.9
200,23.9
201,48.5
202,24.1
203,36.2
204,29.7
205,22.1
206,179
207,23.1
208,29.1
209,23.1
210,40.0
211,24.5
212,26.4
213,43.6
214,26.4
215,27.9
216,31.1
217,21.5
218,86.6
219,31.6
220,32.8
221,32.0
222,27.0
223,25.7
224,25.0
225,24.0
226,28.4
227,27.6
228,24.2
229,24.9
230,23.6
231,24.2
232,24.3
233,24.0
234,24.1
235,28.4
236,24.0
237,28.4
238,30.4
239,26.5
240,33.1
241,26.9
242,36.8
243,27.2
244,26.3
245,32.3
246,42.9
247,33.1
248,36.7
249,21.9
250,37.0
251,27.5
252,34.5
253,31.4
254,32.0
255,70.5
