tempo,vazao
0,0
10,29.1952
20,29.1725
30,29.0475
40,29.0362
50,29.1272
60,29.1725
70,29.1157
80,29.1952
90,29.1952
100,29.083
110,29.0816
120,29.0475
130,29.0362
140,28.2523
150,24.3786
160,25.0261
170,25.9803
180,25.9235
190,25.9576
200,26.0598
210,26.0712
220,26.1166
230,26.1053
240,26.003
250,25.969
260,26.0939
270,25.9803
280,26.0371
290,25.9462
300,25.8326
310,25.3101
320,24.0832
330,23.0494
340,23.7651
350,24.9693
360,25.8326
370,25.9122
380,25.969
390,25.9917
400,26.0258
410,25.9576
420,25.9122
430,25.9462
440,26.0144
450,25.9803
460,26.0258
470,26.0258
480,26.0371
490,25.9917
500,26.0371
510,26.0826
520,26.0826
530,25.9008
540,26.0485
550,26.003
560,26.003
570,26.003
580,26.0598
590,26.0485
600,26.0939
610,25.9803
620,25.9917
630,25.8667
640,25.969
650,25.8213
660,25.8894
670,25.4123
680,25.2306
690,25.0261
700,24.4808
710,23.8446
720,23.4243
730,23.0835
740,23.5606
750,24.3445
760,24.8216
770,25.3669
780,25.6054
790,25.6395
800,25.9235
810,26.0144
820,26.0712
830,25.9462
840,25.9462
850,25.969
860,26.0485
870,26.0144
880,25.9917
890,25.9235
900,25.9803
910,25.8554
920,26.0258
930,26.0144
940,25.9122
950,25.9122
960,26.1053
970,26.003
980,25.9008
990,26.0598
1000,25.9803
1010,25.9917
1020,26.1053
1030,25.9122
1040,25.9803
1050,26.1507
1060,25.9462
1070,25.9576
1080,25.9917
1090,26.003
1100,25.9462
1110,25.9008
1120,26.0712
1130,26.0144
1140,25.9349
1150,26.0485
1160,25.9917
1170,25.9803
1180,26.1166
1190,26.0258
1200,25.9235
1210,26.003
1220,25.9576
1230,26.0598
1240,26.0485
1250,25.8894
1260,25.9235
1270,25.8667
1280,26.0826
1290,25.9122
1300,25.9803
1310,25.9917
1320,26.0598
1330,25.969
1340,26.0485
1350,25.9462
1360,25.8894
1370,26.0371
1380,25.8894
1390,25.9349
1400,25.8554
1410,25.8667
1420,25.7758
1430,25.7986
1440,25.7531
1450,25.5486
1460,25.719
1470,25.4805
1480,25.3328
1490,24.9693
1500,25.1056
1510,24.8557
1520,24.7648
1530,24.1173
1540,24.0378
1550,23.7992
1560,23.572
1570,23.2085
1580,23.3562
1590,23.5266
1600,23.4016
1610,23.6742
1620,23.7197
1630,24.0718
1640,23.8901
1650,24.5149
1660,24.583
1670,24.867
1680,25.0034
1690,25.1738
1700,25.5632
1710,25.5941
1720,25.8099
1730,25.7531
1740,25.8781
1750,25.8099
1760,25.9235
1770,25.9008
1780,25.9235
1790,25.9576
1800,25.9803
1810,26.0144
1820,25.9917
1830,25.9576
1840,25.9122
1850,25.8894
1860,26.0144
1870,26.0144
1880,25.9917
1890,25.9917
1900,25.9349
1910,26.0712
1920,25.9349
1930,26.003
1940,25.9122
1950,25.7986
1960,25.8781
1970,25.8781
1980,25.9803
1990,25.9349
2000,25.8894
2010,25.844
2020,26.0371
2030,25.8894
2040,25.969
2050,25.9235
2060,25.8894
2070,25.9349
2080,25.9122
2090,26.0712
2100,25.9576
2110,26.0485
2120,25.9917
2130,25.8213
2140,25.9576
2150,25.9576
2160,26.0371
2170,25.844
2180,25.9917
2190,25.9917
2200,25.9462
2210,25.969
2220,26.0258
2230,25.8894
2240,26.0144
2250,25.9349
2260,26.0712
2270,25.9349
2280,25.8781
2290,25.8781
2300,25.9462
2310,25.8894
2320,26.0598
2330,26.003
2340,25.969
2350,25.9008
2360,26.0258
2370,26.0371
2380,25.8213
2390,25.9576
2400,25.844
2410,25.9235
2420,25.8894
2430,25.8781
2440,25.969
2450,25.844
2460,25.9917
2470,25.9462
2480,25.9122
2490,26.0485
2500,25.9803
2510,25.9917
2520,25.969
2530,25.8894
2540,25.9803
2550,26.003
2560,25.8667
2570,25.9122
2580,25.9349
2590,25.8781
2600,26.0598
2610,25.8781
2620,25.8894
2630,26.0371
2640,25.9803
2650,25.9008
2660,25.8894
2670,25.9917
2680,26.0826
2690,25.9462
2700,25.9917
2710,25.9917
2720,25.8781
2730,25.8667
2740,25.9462
2750,25.8781
2760,26.0144
2770,25.9008
2780,25.9122
2790,25.969
2800,25.8894
2810,25.8667
2820,25.9462
2830,25.844
2840,25.9576
2850,25.8554
2860,25.9803
2870,25.9008
2880,25.8781
2890,25.8326
2900,25.9122
2910,25.969
2920,25.8781
2930,25.9349
2940,25.844
2950,25.9349
2960,25.8099
2970,25.9462
2980,25.9917
2990,25.9803
3000,25.8894
3010,25.7758
3020,25.844
3030,25.7986
3040,25.8326
3050,25.9576
3060,25.9235
3070,25.8213
3080,25.8781
3090,25.8099
3100,25.8326
3110,25.7872
3120,25.8326
3130,25.6282
3140,25.7304
3150,25.8213
3160,25.719
3170,25.685
3180,25.4805
3190,25.4464
3200,25.4464
3210,25.3555
3220,25.2874
3230,25.2874
3240,25.3328
3250,25.2533
3260,25.1965
3270,24.9238
3280,24.9011
3290,24.9693
3300,24.6398
3310,24.833
3320,24.7762
3330,24.708
3340,24.3786
3350,24.4354
3360,24.1059
3370,23.7651
3380,23.7765
3390,23.8219
3400,23.5834
3410,23.5606
3420,23.6402
3430,23.2312
3440,23.5834
3450,23.6856
3460,23.2539
3470,23.1971
3480,23.0494
3490,22.9472
3500,23.1858
3510,23.5834
3520,23.5834
3530,23.2653
3540,23.5947
3550,24.2763
3560,23.9582
3570,24.1854
3580,23.6515
3590,24.1968
3600,24.0491
