tempo,vazao
0,3.09152
10,3.11952
20,3.11725
30,3.02475
40,3.10362
50,3.17272
60,3.21725
70,3.11157
80,3.21952
90,3.09952
100,3.2083
110,3.25816
120,3.05475
130,3.10362
140,3.07523
150,3.03786
160,3.10261
170,3.19803
180,3.19235
190,3.19576
200,3.20598
210,3.20712
220,3.21166
230,3.21053
240,3.2003
250,3.1969
260,3.20939
270,3.19803
280,3.20371
290,3.19462
300,3.18326
310,3.13101
320,3.00832
330,3.02494
340,3.03651
350,3.09693
360,3.18326
370,3.19122
380,3.1969
390,3.19917
400,3.20258
410,3.19576
420,3.19122
430,3.19462
440,3.20144
450,3.19803
460,3.20258
470,3.20258
480,3.20371
490,3.19917
500,3.20371
510,3.20826
520,3.20826
530,3.19008
540,3.20485
550,3.2003
560,3.2003
570,3.2003
580,3.20598
590,3.20485
600,3.20939
610,3.19803
620,3.19917
630,3.18667
640,3.1969
650,3.18213
660,3.18894
670,3.14123
680,3.12306
690,3.10261
700,3.04808
710,3.18446
720,3.14243
730,3.02835
740,3.19606
750,3.03445
760,3.08216
770,3.13669
780,3.16054
790,3.16395
800,3.19235
810,3.20144
820,3.20712
830,3.19462
840,3.19462
850,3.1969
860,3.20485
870,3.20144
880,3.19917
890,3.19235
900,3.19803
910,3.18554
920,3.22258
930,3.20144
940,3.19122
950,3.19122
960,3.21053
970,3.2003
980,3.19008
990,3.20598
1000,3.19803
1010,3.19917
1020,3.21053
1030,3.19122
1040,3.19803
1050,3.21507
1060,3.19462
1070,3.19576
1080,3.19917
1090,3.2003
1100,3.19462
1110,3.19008
1120,3.20712
1130,3.20144
1140,3.19349
1150,3.20485
1160,3.19917
1170,3.19803
1180,3.21166
1190,3.20258
1200,3.19235
1210,3.2003
1220,3.19576
1230,3.20598
1240,3.20485
1250,3.18894
1260,3.19235
1270,3.18667
1280,3.20826
1290,3.19122
1300,3.19803
1310,3.19917
1320,3.20598
1330,3.1969
1340,3.20485
1350,3.19462
1360,3.18894
1370,3.20371
1380,3.18894
1390,3.19349
1400,3.18554
1410,3.18667
1420,3.17758
1430,3.17986
1440,3.17531
1450,3.15486
1460,3.1719
1470,3.14805
1480,3.13328
1490,3.09693
1500,3.11056
1510,3.08557
1520,3.07648
1530,3.01173
1540,3.00378
1550,3.05149
1560,3.0583
1570,3.0867
1580,3.10034
1590,3.11738
1600,3.15632
1610,3.15941
1620,3.18099
1630,3.17531
1640,3.18781
1650,3.18099
1660,3.19235
1670,3.19008
1680,3.19235
1690,3.19576
1700,3.19803
1710,3.20144
1720,3.19917
1730,3.19576
1740,3.19122
1750,3.18894
1760,3.20144
1770,3.20144
1780,3.19917
1790,3.19917
1800,3.19349
1810,3.20712
1820,3.19349
1830,3.2003
1840,3.19122
1850,3.17986
1860,3.18781
1870,3.18781
1880,3.19803
1890,3.19349
1900,3.18894
1910,3.1844
1920,3.20371
1930,3.18894
1940,3.1969
1950,3.19235
1960,3.18894
1970,3.19349
1980,3.19122
1990,3.20712
2000,3.19576
2010,3.20485
2020,3.19917
2030,3.18213
2040,3.19576
2050,3.19576
2060,3.20371
2070,3.1844
2080,3.19917
2090,3.19917
2100,3.19462
2110,3.1969
2120,3.20258
2130,3.18894
2140,3.20144
2150,3.19349
2160,3.20712
2170,3.19349
2180,3.18781
2190,3.18781
2200,3.19462
2210,3.18894
2220,3.20598
2230,3.2003
2240,3.1969
2250,3.19008
2260,3.20258
2270,3.20371
2280,3.18213
2290,3.19576
2300,3.1844
2310,3.19235
2320,3.18894
2330,3.18781
2340,3.1969
2350,3.1844
2360,3.19917
2370,3.19462
2380,3.19122
2390,3.20485
2400,3.19803
2410,3.19917
2420,3.1969
2430,3.18894
2440,3.19803
2450,3.2003
2460,3.18667
2470,3.19122
2480,3.19349
2490,3.18781
2500,3.20598
2510,3.18781
2520,3.18894
2530,3.20371
2540,3.19803
2550,3.19008
2560,3.18894
2570,3.19917
2580,3.20826
2590,3.19462
2600,3.19917
2610,3.19917
2620,3.18781
2630,3.18667
2640,3.19462
2650,3.18781
2660,3.20144
2670,3.19008
2680,3.19122
2690,3.1969
2700,3.18894
2710,3.18667
2720,3.19462
2730,3.1844
2740,3.19576
2750,3.18554
2760,3.19803
2770,3.19008
2780,3.18781
2790,3.18326
2800,3.19122
2810,3.1969
2820,3.18781
2830,3.19349
2840,3.1844
2850,3.19349
2860,3.18099
2870,3.19462
2880,3.19917
2890,3.19803
2900,3.18894
2910,3.07758
2920,3.1844
2930,3.27986
2940,3.18326
2950,3.19576
2960,3.19235
2970,3.18213
2980,3.18781
2990,3.18099
3000,3.18326
3010,3.17872
3020,3.18326
3030,3.16282
3040,3.17304
3050,3.18213
3060,3.1719
3070,3.1685
3080,3.14805
3090,3.14464
3100,3.14464
3110,3.13555
3120,3.12874
3130,3.12874
3140,3.13328
3150,3.12533
3160,3.11965
3170,3.11056
3180,3.08557
3190,3.07648
3200,3.01173
3210,3.00378
3220,3.05149
3230,3.0583
3240,3.0867
3250,3.10034
3260,3.11738
3270,3.15632
3280,3.15941
3290,3.18099
3300,3.17531
3310,3.18781
3320,3.18099
3330,3.19235
3340,3.19008
3350,3.19235
3360,3.19576
3370,3.19803
3380,3.20144
3390,3.19917
3400,3.19576
3410,3.19122
3420,3.18894
3430,3.20144
3440,3.20144
3450,3.19917
3460,3.19917
3470,3.19349
3480,3.20712
3490,3.19349
3500,3.2003
3510,3.19122
3520,3.17986
3530,3.18781
3540,3.18781
3550,3.19803
3560,3.19349
3570,3.18894
3580,3.1844
3590,3.20371
