tempo, delay
1, 21.4778
2, 3.6892
3, 3.6376
4, 7.7532
5, 49.388
6, 41.6530
7, 41.9232
8, 41.9414
9, 47.3592
10, 5.3866
11, 3.9108
12, 3.8966
13, 3.8872
14, 3.8734
15, 5.2696
16, 5.5104
17, 5.8752
18, 5.5872
19, 5.5296
20, 5.6448
21, 5.5872
22, 5.5488
23, 5.7408
24, 5.7408
25, 0.5664
26, 5.6256
27, 5.3568
28, 5.4912
29, 5.7614
30, 5.7408
31, 5.5104
32, 5.5104
33, 5.5872
34, 5.6064
35, 5.7024
36, 5.8368
37, 5.7612
38, 5.6448
39, 5.7984
40, 5.6256
41, 5.5872
42, 5.6832
43, 5.5488
44, 5.4528
45, 5.6256
46, 5.5488
47, 5.6832
48, 5.5762
49, 5.5872
50, 5.6832
51, 5.4144
52, 5.6256
53, 5.6256
54, 5.4912
55, 5.5376
56, 5.4336
57, 5.7472
58, 5.4144
59, 5.5104
60, 5.4336
61, 5.7408
62, 5.6256
63, 5.5376
64, 5.5472
65, 5.5488
66, 5.5488
67, 5.7792
68, 5.5568
69, 5.7984
70, 5.5872
71, 5.4912
72, 5.6064
73, 5.5104
74, 5.5104
75, 5.7408
76, 5.4144
77, 5.4912
78, 5.5568
79, 5.8176
80, 5.5104
81, 5.5568
82, 5.4528
83, 5.7024
84, 5.6448
85, 5.7408
86, 5.4912
87, 5.5296
88, 5.6832
89, 5.6256
90, 5.3952
91, 5.4912
92, 5.5472
93, 5.5488
94, 5.3952
95, 5.3952
96, 5.5682
97, 5.4912
98, 5.5104
99, 5.5684
100, 5.5664
101, 5.5568
102, 5.4144
103, 5.3184
104, 5.4144
105, 5.5568
106, 5.5872
107, 5.4144
108, 5.7408
109, 5.5488
110, 5.5104
111, 5.6448
112, 5.5296
113, 5.3568
114, 5.2224
115, 5.6064
116, 5.4336
117, 5.28
118, 5.3376
119, 5.4144
120, 5.4912
121, 5.4144
122, 5.4912
123, 5.5104
124, 5.5872
125, 5.4144
126, 5.5872
127, 5.5872
128, 5.4528
129, 5.6144
130, 5.5104
